Name								WasRun	L1S	HLT	HLT/WasRun	HLT/original_pt10
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_v4				28842	18679	17219	0.597	1.000
HLT_L2Mu20_NoVertex_2Cha_NoBPTX3BX_NoHalo_v1			28842	18679	14604	0.506	0.848
HLT_L2Mu30_NoVertex_2Cha_NoBPTX3BX_NoHalo_v1			28842	18679	11222	0.389	0.652
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_15_v1		28842	18679	16816	0.583	0.977
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_20_v1		28842	18679	16272	0.564	0.945
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_25_v1		28842	18679	14363	0.498	0.834
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_30_v1		28842	18679	12721	0.441	0.739
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_35_v1		28842	18679	11357	0.394	0.660
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_40_v1		28842	18679	10251	0.355	0.595
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_45_v1		28842	18679	9370	0.325	0.544
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_50_v1		28842	18679	8555	0.297	0.497
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Cha1_v1		28842	18679	17219	0.597	1.000
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Cha2_v1		28842	18679	15281	0.530	0.887
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Cha3_v1		28842	18679	6857	0.238	0.398
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Cha4_v1		28842	18679	2360	0.082	0.137
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St1_v1		28842	18679	17219	0.597	1.000
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St2_v1		28842	18679	16939	0.587	0.984
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St3_v1		28842	18679	11212	0.389	0.651
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St4_v1		28842	18679	5587	0.194	0.324
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Hits3_v1		28842	18679	17219	0.597	1.000
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Hits5_v1		28842	18679	17192	0.596	0.998
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Hits8_v1		28842	18679	16931	0.587	0.983
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Hits10_v1		28842	18679	16186	0.561	0.940
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Hits15_v1		28842	18679	13242	0.459	0.769
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Hits20_v1		28842	18679	8972	0.311	0.521
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Hits25_v1		28842	18679	5956	0.207	0.346
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Hits30_v1		28842	18679	4027	0.140	0.234
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_eta2p1_v1		28842	18679	17174	0.595	0.997
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St3_pt15_v1	28842	18679	10966	0.380	0.637
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St3_pt20_v1	28842	18679	10566	0.366	0.614
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St3_pt25_v1	28842	18679	9204	0.319	0.535
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St3_pt30_v1	28842	18679	8045	0.279	0.467
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St3_pt35_v1	28842	18679	7077	0.245	0.411
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St3_pt40_v1	28842	18679	6303	0.219	0.366
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St3_pt45_v1	28842	18679	5706	0.198	0.331
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St3_pt50_v1	28842	18679	5170	0.179	0.300
