Name								WasRun	L1S	HLT	HLT/WasRun	HLT/original_pt10
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_v4				19441	3288	2410	0.124	1.000
HLT_L2Mu20_NoVertex_2Cha_NoBPTX3BX_NoHalo_v1			19441	3288	1667	0.086	0.692
HLT_L2Mu30_NoVertex_2Cha_NoBPTX3BX_NoHalo_v1			19441	3288	1556	0.080	0.646
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_15_v1		19441	3288	2332	0.120	0.968
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_20_v1		19441	3288	2263	0.116	0.939
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_25_v1		19441	3288	2190	0.113	0.909
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_30_v1		19441	3288	2117	0.109	0.878
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_35_v1		19441	3288	2040	0.105	0.846
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_40_v1		19441	3288	1958	0.101	0.812
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_45_v1		19441	3288	1877	0.097	0.779
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_50_v1		19441	3288	1789	0.092	0.742
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Cha1_v1		19441	3288	2410	0.124	1.000
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Cha2_v1		19441	3288	1748	0.090	0.725
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Cha3_v1		19441	3288	1186	0.061	0.492
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Cha4_v1		19441	3288	488	0.025	0.202
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St1_v1		19441	3288	2410	0.124	1.000
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St2_v1		19441	3288	2302	0.118	0.955
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St3_v1		19441	3288	1798	0.092	0.746
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St4_v1		19441	3288	1017	0.052	0.422
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Hits3_v1		19441	3288	2410	0.124	1.000
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Hits5_v1		19441	3288	2406	0.124	0.998
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Hits8_v1		19441	3288	2330	0.120	0.967
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Hits10_v1		19441	3288	2134	0.110	0.885
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Hits15_v1		19441	3288	1698	0.087	0.705
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Hits20_v1		19441	3288	1481	0.076	0.615
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Hits25_v1		19441	3288	1152	0.059	0.478
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_Hits30_v1		19441	3288	906	0.047	0.376
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_eta2p1_v1		19441	3288	2407	0.124	0.999
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St3_pt15_v1	19441	3288	1752	0.090	0.727
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St3_pt20_v1	19441	3288	1712	0.088	0.710
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St3_pt25_v1	19441	3288	1659	0.085	0.688
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St3_pt30_v1	19441	3288	1608	0.083	0.667
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St3_pt35_v1	19441	3288	1546	0.080	0.641
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St3_pt40_v1	19441	3288	1484	0.076	0.616
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St3_pt45_v1	19441	3288	1417	0.073	0.588
HLT_L2Mu10_NoVertex_NoBPTX3BX_NoHalo_Changed_St3_pt50_v1	19441	3288	1348	0.069	0.559
